College Name,Fees,Average Package,Highest Package,Rating,Ranking,Main Link,Reviews Link
"Pune Vidhyarthi Griha's College of Engineering and Technology - [PVGCOET], Pune","₹ 1,50,700","₹ 4,95,000","₹ 30,00,000",3.8 / 5,#291 th / 500 in India 2025,https://collegedunia.com/college/14625-pune-vidhyarthi-grihas-college-of-engineering-and-technology-pvgcoet-pune,https://collegedunia.com/college/14625-pune-vidhyarthi-grihas-college-of-engineering-and-technology-pvgcoet-pune/reviews
"Nitte Meenakshi Institute of Technology - [NMIT] (Deemed to be University), Bangalore","₹ 3,25,000","₹ 59,00,000",N/A,3.9 / 5,#292 th / 500 in India 2025,https://collegedunia.com/college/14500-nitte-meenakshi-institute-of-technology-nmit-deemed-to-be-university-bangalore,https://collegedunia.com/college/14500-nitte-meenakshi-institute-of-technology-nmit-deemed-to-be-university-bangalore/reviews
"University Institute of Technology, University Of Burdwan - [UIT], Bardhaman","₹ 1,00,200",N/A,N/A,3.3 / 5,#293 th / 500 in India 2025,https://collegedunia.com/college/24555-university-institute-of-technology-university-of-burdwan-uit-bardhaman,https://collegedunia.com/college/24555-university-institute-of-technology-university-of-burdwan-uit-bardhaman/reviews
"Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech], Chennai","₹ 3,85,000","₹ 44,00,000",N/A,3.7 / 5,#294 th / 500 in India 2025,https://collegedunia.com/university/54852-vel-tech-rangarajan-dr-sagunthala-r-and-d-institute-of-science-and-technology-vel-tech-chennai,https://collegedunia.com/university/54852-vel-tech-rangarajan-dr-sagunthala-r-and-d-institute-of-science-and-technology-vel-tech-chennai/reviews
"RV University - [RVU], Bangalore","₹ 5,50,000",N/A,N/A,3.8 / 5,#295 th / 500 in India 2025,https://collegedunia.com/university/60480-rv-university-rvu-bangalore,https://collegedunia.com/university/60480-rv-university-rvu-bangalore/reviews
"Ramkrishna Mahato Government Engineering College, Purulia","₹ 6,000","₹ 3,50,000","₹ 6,00,000",3.9 / 5,#296 th / 500 in India 2025,https://collegedunia.com/college/58094-ramkrishna-mahato-government-engineering-college-purulia,https://collegedunia.com/college/58094-ramkrishna-mahato-government-engineering-college-purulia/reviews
"RV Institute of Technology and Management - [RVITM], Bangalore","₹ 3,31,710","₹ 12,44,000","₹ 33,00,000",4 / 5,#297 th / 500 in India 2025,https://collegedunia.com/college/62191-rv-institute-of-technology-and-management-rvitm-bangalore,https://collegedunia.com/college/62191-rv-institute-of-technology-and-management-rvitm-bangalore/reviews
"New Horizon College of Engineering - [NHCE], Bangalore","₹ 15,00,000","₹ 6,50,000","₹ 42,50,000",4.2 / 5,#298 th / 500 in India 2025,https://collegedunia.com/college/14483-new-horizon-college-of-engineering-nhce-bangalore,https://collegedunia.com/college/14483-new-horizon-college-of-engineering-nhce-bangalore/reviews
"Symbiosis Institute of Technology - [SIT], Hyderabad","₹ 3,50,000",N/A,N/A,N/A,#299 th / 500 in India 2025,https://collegedunia.com/college/65646-symbiosis-institute-of-technology-sit-hyderabad,https://collegedunia.com/college/65646-symbiosis-institute-of-technology-sit-hyderabad/reviews
"RNS Institute of Technology - [RNSIT], Bangalore","₹ 3,01,100","₹ 50,00,000",N/A,3.9 / 5,#300 th / 500 in India 2025,https://collegedunia.com/college/14664-rns-institute-of-technology-rnsit-bangalore,https://collegedunia.com/college/14664-rns-institute-of-technology-rnsit-bangalore/reviews
"Ghani Khan Choudhury Institute Of Engineering and Technology -[GKCIET], Malda","₹ 52,773","₹ 2,70,000","₹ 6,50,000",3.9 / 5,#301 th / 500 in India 2025,https://collegedunia.com/college/60074-ghani-khan-choudhury-institute-of-engineering-and-technology-gkciet-malda,https://collegedunia.com/college/60074-ghani-khan-choudhury-institute-of-engineering-and-technology-gkciet-malda/reviews
"Shiv Nadar University, School of Engineering  - [SOE], Greater Noida","₹ 7,58,500","₹ 9,29,000","₹ 58,09,000",4.2 / 5,#302 th / 500 in India 2025,https://collegedunia.com/college/57052-shiv-nadar-university-school-of-engineering-soe-greater-noida,https://collegedunia.com/college/57052-shiv-nadar-university-school-of-engineering-soe-greater-noida/reviews
"B. N. M. Institute of Technology - [BNMIT], Bangalore","₹ 7,57,500","₹ 6,16,000","₹ 34,28,000",3.8 / 5,#303 th / 500 in India 2025,https://collegedunia.com/college/12946-b-n-m-institute-of-technology-bnmit-bangalore,https://collegedunia.com/college/12946-b-n-m-institute-of-technology-bnmit-bangalore/reviews
"Sir M Visvesvaraya Institute of Technology - [Sir MVIT], Bangalore","₹ 1,50,000","₹ 5,98,000","₹ 16,00,000",3.8 / 5,#304 th / 500 in India 2025,https://collegedunia.com/college/15151-sir-m-visvesvaraya-institute-of-technology-sir-mvit-bangalore,https://collegedunia.com/college/15151-sir-m-visvesvaraya-institute-of-technology-sir-mvit-bangalore/reviews
"Coochbehar Government Engineering College, Cooch Behar","₹ 16,000",N/A,N/A,4.1 / 5,#305 th / 500 in India 2025,https://collegedunia.com/college/58092-coochbehar-government-engineering-college-cooch-behar,https://collegedunia.com/college/58092-coochbehar-government-engineering-college-cooch-behar/reviews
"Government College of Engineering & Textile Technology - [GCETT], Behrampore","₹ 53,400","₹ 4,00,000","₹ 12,00,000",3.8 / 5,#306 th / 500 in India 2025,https://collegedunia.com/college/13592-government-college-of-engineering-and-textile-technology-gcett-behrampore,https://collegedunia.com/college/13592-government-college-of-engineering-and-textile-technology-gcett-behrampore/reviews
"KLS Gogte Institute of Technology - [KLS GIT], Belgaum","₹ 3,12,087","₹ 6,54,000","₹ 51,00,000",3.7 / 5,#307 th / 500 in India 2025,https://collegedunia.com/college/28571-kls-gogte-institute-of-technology-kls-git-belgaum,https://collegedunia.com/college/28571-kls-gogte-institute-of-technology-kls-git-belgaum/reviews
"Dr. Ambedkar Institute of Technology - [AIT], Bangalore","₹ 64,790","₹ 19,75,000",N/A,3.7 / 5,#308 th / 500 in India 2025,https://collegedunia.com/college/13369-dr-ambedkar-institute-of-technology-ait-bangalore,https://collegedunia.com/college/13369-dr-ambedkar-institute-of-technology-ait-bangalore/reviews
"Ramdeobaba University - [RBU], Nagpur","₹ 3,21,250","₹ 6,90,000","₹ 51,00,000",4.1 / 5,#309 th / 500 in India 2025,https://collegedunia.com/college/15096-ramdeobaba-university-rbu-nagpur,https://collegedunia.com/college/15096-ramdeobaba-university-rbu-nagpur/reviews
"Alliance College of Engineering and Design, Bangalore","₹ 18,00,000","₹ 60,10,000",N/A,4 / 5,#310 th / 500 in India 2025,https://collegedunia.com/college/28379-alliance-college-of-engineering-and-design-bangalore,https://collegedunia.com/college/28379-alliance-college-of-engineering-and-design-bangalore/reviews
"Dr. Ambedkar Institute of Technology for Handicapped - [AITH], Kanpur","₹ 61,000","₹ 50,00,000",N/A,3.9 / 5,#311 th / 500 in India 2025,https://collegedunia.com/college/13370-dr-ambedkar-institute-of-technology-for-handicapped-aith-kanpur,https://collegedunia.com/college/13370-dr-ambedkar-institute-of-technology-for-handicapped-aith-kanpur/reviews
"D. Y. Patil College of Engineering, Pune","₹ 1,39,189","₹ 8,00,000","₹ 52,00,000",3.9 / 5,#312 th / 500 in India 2025,https://collegedunia.com/college/13376-d-y-patil-college-of-engineering-pune,https://collegedunia.com/college/13376-d-y-patil-college-of-engineering-pune/reviews
"SDM College of Engineering and Technology - [SDMCET], Dharwad","₹ 3,11,710","₹ 6,59,000","₹ 43,94,000",4.2 / 5,#313 th / 500 in India 2025,https://collegedunia.com/college/14820-sdm-college-of-engineering-and-technology-sdmcet-dharwad,https://collegedunia.com/college/14820-sdm-college-of-engineering-and-technology-sdmcet-dharwad/reviews
"Sathyabama Institute of Science and Technology, Chennai","₹ 2,45,000","₹ 5,57,000","₹ 41,20,000",3.9 / 5,#314 th / 500 in India 2025,https://collegedunia.com/university/25897-sathyabama-institute-of-science-and-technology-chennai,https://collegedunia.com/university/25897-sathyabama-institute-of-science-and-technology-chennai/reviews
"Government College of Engineering - [GECA], Aurangabad","₹ 81,851","₹ 5,80,000","₹ 11,50,000",3.9 / 5,#315 th / 500 in India 2025,https://collegedunia.com/college/13588-government-college-of-engineering-geca-aurangabad,https://collegedunia.com/college/13588-government-college-of-engineering-geca-aurangabad/reviews
"National Institute of Food Technology Entrepreneurship and Management - [NIFTEM], Sonepat","₹ 2,17,550","₹ 18,00,000",N/A,4 / 5,#316 th / 500 in India 2025,https://collegedunia.com/college/25539-national-institute-of-food-technology-entrepreneurship-and-management-niftem-sonepat,https://collegedunia.com/college/25539-national-institute-of-food-technology-entrepreneurship-and-management-niftem-sonepat/reviews
"M.S. Ramaiah University of Applied Sciences - [MSRUAS], Bangalore","₹ 3,50,000","₹ 7,00,000","₹ 52,00,000",4 / 5,#317 th / 500 in India 2025,https://collegedunia.com/university/54840-ms-ramaiah-university-of-applied-sciences-msruas-bangalore,https://collegedunia.com/university/54840-ms-ramaiah-university-of-applied-sciences-msruas-bangalore/reviews
"KIET Deemed To Be University, Ghaziabad","₹ 1,52,999","₹ 5,31,700","₹ 60,00,000",4.1 / 5,#318 th / 500 in India 2025,https://collegedunia.com/university/14038-kiet-deemed-to-be-university-ghaziabad,https://collegedunia.com/university/14038-kiet-deemed-to-be-university-ghaziabad/reviews
"Thakur College of Engineering and Technology - [TCET], Mumbai","₹ 4,68,500","₹ 7,58,000","₹ 40,00,000",4 / 5,#319 th / 500 in India 2025,https://collegedunia.com/college/54796-thakur-college-of-engineering-and-technology-tcet-mumbai,https://collegedunia.com/college/54796-thakur-college-of-engineering-and-technology-tcet-mumbai/reviews
"Vidyavardhaka College of Engineering - [VVCE], Mysore","₹ 2,52,110","₹ 41,30,000",N/A,4.1 / 5,#320 th / 500 in India 2025,https://collegedunia.com/college/19173-vidyavardhaka-college-of-engineering-vvce-mysore,https://collegedunia.com/college/19173-vidyavardhaka-college-of-engineering-vvce-mysore/reviews
