college_id,college_name,collegedunia_college_name
71,Indian Institute of Information Technology Sonepat,"Indian Institute of Information Technology - [IIIT], Sonepat",
72,Indian Institute of Information Technology Kottayam,"Indian Institute of Information Technology [IIIT], Kottayam",
73,Indian Institute of Information Technology Tiruchirappalli,"Indian Institute of Information Technology - [IIIT], Tiruchirappalli",
74,Indian Institute of Information Technology Dharwad,"Indian Institute of Information Technology - [IIITD], Dharwad",
75,Indian Institute of Information Technology Raichur,"Indian Institute of Information Technology -[IIIT], Raichur",
76,Indian Institute of Information Technology Manipur,"Indian Institute of Information Technology - [IIITM], Imphal",
77,Indian Institute of Information Technology Kalyani,"Indian Institute of Information Technology - [IIITK], Kalyani",
78,Indian Institute of Information Technology Naya Raipur,"International Institute of Information Technology - [IIIT] Naya Raipur, Raipur",
79,Indian Institute of Information Technology Sri City,"Indian Institute of Information Technology Sri City - [IIIT], Sri City",
80,Birla Institute of Technology and Science Pilani,"BITS Pilani, Pilani",
81,Birla Institute of Technology and Science Goa,"Birla Institute of Technology and Science - [BITS], South Goa",
82,Birla Institute of Technology and Science Hyderabad,"Birla Institute of Technology and Science - [BITS], Hyderabad",
83,Vellore Institute of Technology Vellore,"Vellore Institute of Technology - [VIT University], Vellore",
84,Vellore Institute of Technology Chennai,"Vellore Institute of Technology - [VIT] Chennai, Chennai",
85,Vellore Institute of Technology Andhra Pradesh,"VIT University - [VIT- AP], Guntur",
86,SRM Institute of Science and Technology Kattankulathur,"SRM Institute of Science and Technology - [SRMIST], Chennai",
87,SRM University AP Amaravati,"SRM University, Amaravathi",
88,Manipal Institute of Technology,"Manipal Institute of Technology - [MIT], Manipal",
89,Amrita Vishwa Vidyapeetham Coimbatore,"Amrita Vishwa Vidyapeetham, Coimbatore",
90,Thapar Institute of Engineering and Technology Patiala,"Thapar Institute of Engineering and Technology - [Thapar University], Patiala",
91,The LNM Institute of Information Technology Jaipur,"The LNM Institute of Information Technology - [LNMIIT], Jaipur",
92,Shiv Nadar University Greater Noida,"Shiv Nadar University - [SNU], Greater Noida",
93,University of Petroleum and Energy Studies Dehradun,"UPES, Dehradun",
94,Chitkara University Punjab,"Chitkara University - [CU], Patiala",
