Model,MAE,RMSE,R2
RandomForest,0.38311277506334407,0.4953918596987632,0.3841735944931739
Ridge,0.4071775792696768,0.5149650875347122,0.33454889861655623
GradientBoosting,0.4268536090502039,0.5227760139550657,0.31420884283748696
Baseline_Dummy,0.5314253080810998,0.6312766588340464,-8.833091169613283e-08
